year,week,team_1,team_1_score,team_1_proj,team_1_result,team_2,team_2_score,team_2_proj,team_2_result
2020,10,Saxon,91,126,Loss,Peyton,117,144,Win
2020,10,Griffin,85,124,Loss,James,146,117,Win
2020,10,Korben,142,129,Win,Ryan,105,110,Loss
2020,10,Rhett,134,156,Loss,Harrison,154,132,Win
2020,11,Abhi,158,148,Win,Peyton,132,147,Loss
2020,11,Ben,134,146,Win,Saxon,120,127,Loss
2020,11,Weston,125,149,Loss,Brayden,149,157,Win
2020,11,Griffin,112,126,Loss,Harrison,120,128,Win
2020,11,Korben,100,139,Loss,Rhett,179,156,Win
2020,11,James,125,119,Win,Ryan,109,124,Loss
2020,12,Abhi,149,142,Loss,Rhett,173,162,Win
2020,12,Ben,136,148,Win,James,128,135,Loss
2020,12,Saxon,61,97,Loss,Ryan,132,132,Win
2020,12,Weston,155,151,Win,Korben,127,139,Loss
2020,12,Peyton,106,145,Loss,Harrison,116,120,Win
2020,12,Griffin,163,136,Win,Brayden,123,162,Loss
2020,13,Abhi,98,116,Loss,Weston,155,131,Win
2020,13,Ben,127,147,Loss,Korben,147,139,Win
2020,13,Saxon,134,121,Win,Griffin,115,123,Loss
2020,13,Peyton,137,145,Win,Ryan,56,103,Loss
2020,13,Rhett,151,166,Loss,Brayden,173,153,Win
2020,13,Harrison,126,144,Loss,James,138,124,Win
2020,14,Abhi,159,149,Win,Weston,154,148,Loss
2020,14,Ben,182,149,Win,Harrison,114,143,Loss
2020,14,Peyton,143,146,Tie,Rhett,143,167,Tie
2020,14,Brayden,146,151,Win,James,128,127,Loss
2020,15,Abhi,156,154,Win,Peyton,113,147,Loss
2020,15,Ben,68,127,Loss,Brayden,170,156,Win
2020,15,Weston,144,145,Loss,Rhett,191,157,Win
2020,15,Harrison,168,137,Win,James,143,110,Loss
2020,16,Abhi,168,152,Win,Brayden,154,154,Loss
2020,16,Ben,110,121,Loss,Peyton,153,148,Win
2020,16,Weston,173,131,Win,James,150,136,Loss
2020,16,Rhett,135,152,Win,Harrison,104,141,Loss
2021,1,Abhi,189.06,142.69,Win,Weston,181.66,143.42,Loss
2021,1,Peyton,138.52,136.56,Loss,Brayden,141.96,143.17,Win
2021,1,Rhett,152.58,149.02,Win,Ryan,99.88,143.19,Loss
2021,1,Korben,120.18,145.43,Win,Justice,101.10,132.96,Loss
2021,1,Ben,99.02,140.29,Loss,James,173.46,136.31,Win
2021,1,Saxon,123.78,118.93,Win,Houston,123.56,144.42,Loss
2021,2,Abhi,115.84,139.85,Loss,Justice,130.56,135.36,Win
2021,2,Peyton,121.88,138.98,Win,Rhett,107.82,146.24,Loss
2021,2,Weston,159.12,148.06,Loss,Ben,165.80,148.01,Win
2021,2,Korben,108.82,137.82,Loss,Houston,198.60,137.58,Win
2021,2,Brayden,104.90,136.10,Loss,James,137.02,131.32,Win
2021,2,Ryan,125.10,138.61,Win,Saxon,100.42,114.99,Loss
2021,3,Abhi,150.28,148.07,Win,James,126.82,138.08,Loss
2021,3,Peyton,143.12,135.33,Loss,Ben,156.94,137.24,Win
2021,3,Weston,98.12,146.06,Loss,Korben,131.84,136.18,Win
2021,3,Rhett,169.12,145.06,Win,Houston,111.74,131.51,Loss
2021,3,Brayden,126.62,139.10,Win,Ryan,118.18,139.34,Loss
2021,3,Saxon,103.34,124.90,Loss,Justice,146.12,129.83,Win
2021,4,Abhi,173.56,151.14,Win,Ryan,107.74,132.12,Loss
